Data,transitivity,grauMedio,average_path_length,modularity,global_average_link_distance,eccentricity,eigenvector,coreness,pagerank,links
1993-04-01,0.5695885451533343,24.25,40.805041027619055,0.8387472400585972,8.468016753360183e-05,36.7751572327044,0.013450264814705935,14.636268343815514,0.0001310272536687631,92538
1993-05-01,0.5699490771577749,24.181865828092242,34.979149753831535,0.8411658061232299,8.426348624519262e-05,36.65159853249476,0.013652123571803157,14.678459119496855,0.0001310272536687631,92278
1993-06-01,0.5673746523614113,23.69706498951782,33.194676450767545,0.8409760126708559,8.136039957918393e-05,37.10849056603774,0.014522167086197453,14.382861635220126,0.0001310272536687631,90428
1993-07-01,0.5668746935500478,23.689203354297693,31.194893072420314,0.8439231572482638,8.121582114021713e-05,36.745020964360585,0.014404885743026187,14.364255765199161,0.0001310272536687631,90398
1993-08-01,0.5661641510649164,23.72222222222222,26.541373568092414,0.8419489413432075,8.174315585204277e-05,34.4454926624738,0.013731467460527298,14.35285639412998,0.0001310272536687631,90524
1993-09-01,0.5652481142551701,23.71383647798742,26.397245100051183,0.8399845363511038,8.20031994474809e-05,34.106263102725364,0.013847507145056002,14.356656184486374,0.00013102725366876308,90492
1993-10-01,0.5667369076948493,23.808700209643607,25.759935749770534,0.843972666958707,8.265835317916992e-05,31.921907756813418,0.0123756409876105,14.427803983228511,0.0001310272536687631,90854
1993-11-01,0.5669223476687064,23.80843815513627,29.962477510221877,0.8495103580545903,8.27818153074122e-05,32.22340146750524,0.012894823479578795,14.36229035639413,0.00013102725366876308,90853
1993-12-01,0.5684919565233102,23.937106918238992,33.60197144934858,0.8373773738065224,8.294967607052215e-05,31.41391509433962,0.012073538136901683,14.512316561844864,0.00013102725366876308,91344
1994-01-01,0.572783040413915,24.56865828092243,24.515134497733097,0.8430752860781493,8.770535097091864e-05,29.04114255765199,0.007356472130802987,14.901729559748428,0.0001310272536687631,93754
1994-02-01,0.5714501197436256,24.6480607966457,22.294917605474964,0.8432552246804107,9.054944645674984e-05,29.30424528301887,0.010505702906742334,14.91941823899371,0.0001310272536687631,94057
1994-03-01,0.5717012971305399,24.681865828092242,37.14733249734134,0.8420865060808722,9.481729544400482e-05,27.13993710691824,0.010621211377432707,14.925314465408805,0.0001310272536687631,94186
1994-04-01,0.573017144939976,24.80634171907757,31.25727993671406,0.8416306049567319,9.287187987050477e-05,27.57625786163522,0.009666748948495929,15.004585953878406,0.00013102725366876308,94661
1994-05-01,0.5730219438262384,24.967505241090148,45.82765893119948,0.8508155998575453,9.103934860622057e-05,28.47877358490566,0.008338062759133257,15.057914046121594,0.0001310272536687631,95276
1994-06-01,0.5758896851677952,25.373427672955973,39.37163020774525,0.8483156195790047,9.445478843092852e-05,26.867138364779873,0.008692419419261993,15.314072327044025,0.00013102725366876308,96825
1994-07-01,0.5768507644573562,25.365828092243188,25.453672980150753,0.8489023720752604,9.538555952265806e-05,29.39937106918239,0.00893836883689382,15.398846960167715,0.0001310272536687631,96796
1994-08-01,0.5755628732249493,25.37395178197065,25.585060365600206,0.8480746266440563,9.410507058149297e-05,27.896619496855347,0.008590572645183269,15.317348008385745,0.0001310272536687631,96827
1994-09-01,0.5727705816378382,25.2667714884696,24.231662640553388,0.8416365895999953,9.450976728230701e-05,30.890330188679247,0.010184470615030628,15.221042976939204,0.00013102725366876308,96418
1994-10-01,0.573401269333203,25.37159329140461,28.4251425211134,0.8465057576932631,9.88664898298393e-05,33.680817610062896,0.011274517593134602,15.258254716981131,0.0001310272536687631,96818
1994-11-01,0.5855154873012366,26.061844863731658,27.63894005665405,0.8429211101592388,0.00011205444622963483,31.92361111111111,0.015059538774003192,15.750524109014675,0.0001310272536687631,99452
1994-12-01,0.5815782701780557,26.037473794549268,62.741726893530114,0.8397838759153627,0.00010816168948460607,35.62801362683438,0.014567166815002268,15.710298742138365,0.00013102725366876308,99359
1995-01-01,0.5815173132675332,25.432914046121592,28.910924475829173,0.8365449952248394,9.734072158040552e-05,38.87526205450734,0.012679486084900719,15.240828092243186,0.0001310272536687631,97052
1995-02-01,0.5752866143795684,24.98715932914046,27.081539439563933,0.8383676838148889,9.112385797043236e-05,38.94640985324948,0.010795288138772082,14.97248427672956,0.00013102725366876308,95351
1995-03-01,0.5717049080556135,24.754716981132077,23.278243129714475,0.8486805006283551,8.84091741637355e-05,39.94732704402516,0.009584200403646622,14.91208071278826,0.0001310272536687631,94464
1995-04-01,0.5704917350119961,24.199685534591193,44.23020350072679,0.8510732676513397,8.418386919457233e-05,39.056341719077565,0.013986072405179914,14.568265199161425,0.0001310272536687631,92346
1995-05-01,0.5698548866546154,23.99056603773585,62.34204229300819,0.8500819537793516,8.29914344165651e-05,40.989648846960165,0.012107177236433148,14.507599580712789,0.0001310272536687631,91548
1995-06-01,0.5682212838552891,23.779088050314467,41.15919730619917,0.8429606342513031,8.147090869399627e-05,42.25144129979036,0.012558398506504762,14.342898322851154,0.00013102725366876308,90741
1995-07-01,0.5683308458821376,23.72012578616352,29.1889372132373,0.8469176657768667,8.114730118015199e-05,41.96409853249476,0.014562481106900463,14.327699161425576,0.00013102725366876308,90516
1995-08-01,0.5673442278874744,23.36006289308176,37.334875268785304,0.8425835930748488,7.877475593704796e-05,37.917976939203356,0.01274107324789066,14.151729559748428,0.0001310272536687631,89142
1995-09-01,0.5659895186046953,23.090408805031448,21.604477673958726,0.8462154607555885,7.716671268528714e-05,37.96357442348008,0.012072308603962509,14.013102725366876,0.0001310272536687631,88113
1995-10-01,0.5651283907441442,23.16509433962264,23.5204035069356,0.8425365738521886,7.731919095298487e-05,37.43723794549266,0.01256184805896014,14.03930817610063,0.0001310272536687631,88398
1995-11-01,0.564802128989115,23.196540880503143,25.412786226983776,0.8440649459102164,7.726300175109731e-05,37.04035639412998,0.01209175550115852,14.042190775681341,0.0001310272536687631,88518
1995-12-01,0.5661681940128793,23.42059748427673,27.19684424697121,0.8464231018903358,7.875090386430525e-05,38.12945492662474,0.012562246469267393,14.166011530398324,0.0001310272536687631,89373
1996-01-01,0.5675014985104079,23.56865828092243,23.109113954253132,0.8527353197226584,7.975021180393309e-05,38.01113731656184,0.009292541679300118,14.306341719077569,0.0001310272536687631,89938
